     0,     0,     0,     0,3.00<3.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,6.00<6.90>,6.00<6.40>,5.00<5.40>,     0,     0,4.00<4.00>,4.00<4.00>,     0,2.00<2.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,2.00<2.00>,     0,     0,     0,     0,     0,     0,4.00<3.67>,3.00<3.67>,     0,     0,     0,     0,     0,
2.00<2.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,3.00<3.00>,     0,4.00<3.50>,     0,7.00<6.40>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,2.00<2.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,
     0,     0,     0,     0,     0,     0,     0,     0,     0,2.00<2.50>,     0,2.00<2.00>,     0,4.00<4.00>,     0,     0,     0,     0,     0,     0,3.00<3.00>,     0,     0,     0,     0,     0,     0,     0,     0,3.00<3.00>,     0,     0,     0,     0,     0,     0,     0,4.00<4.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
     0,     0,     0,     0,     0,     0,     0,     0,     0,2.00<1.50>,     0,     0,     0,     0,     0,5.00<5.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,5.00<5.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,3.00<3.00>,
     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,6.00<6.00>,8.00<8.00>,     0,     0,2.00<2.50>,     0,     0,     0,     0,     0,     0,     0,     0,     0,2.00<2.00>,     0,     0,     0,5.00<5.00>,     0,     0,     0,     0,     0,2.00<2.00>,     0,     0,     0,2.00<2.00>,     0,     0,     0,     0,     0,     0,
     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,3.00<3.00>,     0,     0,     0,     0,     0,     0,6.00<5.50>,     0,     0,     0,     0,1.00<1.00>,     0,     0,     0,4.00<4.00>,3.00<3.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
     0,3.00<3.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,4.00<4.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,2.00<2.00>,     0,1.00<1.00>,     0,     0,     0,     0,     0,     0,     0,3.00<3.00>,     0,     0,     0,     0,     0,     0,     0,
     0,     0,     0,     0,4.00<4.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,3.00<3.00>,     0,     0,     0,     0,1.00<1.00>,     0,     0,
     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,3.00<3.00>,2.00<2.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,1.00<1.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
     0,     0,     0,2.00<2.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,4.00<4.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,2.00<2.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,
     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,4.00<4.00>,     0,2.00<2.00>,     0,     0,     0,     0,     0,     0,     0,     0,1.00<1.00>,     0,     0,     0,     0,     0,     0,     0,3.00<3.00>,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,1.00<1.00>,     0,     0,
