Enter image dot positions following below order
x y image
=====
14 5 @
15 5 @
16 5 @
17 5 @
18 5 @
19 5 @
20 5 @
21 5 @
21 6 @
21 7 @
14 6 @
14 7 @
14 8 @
14 9 @
14 10 @
14 11 @
14 12 @
14 13 @
15 13 @
16 13 @
17 13 @
18 13 @
19 13 @
20 13 @
21 13 @
21 12 @
21 11 @
27 5 @
27 6 @
27 7 @
27 8 @
27 9 @
27 10 @
27 11 @
27 12 @
27 13 @
28 13 @
29 13 @
30 13 @
31 13 @
32 13 @
33 13 @
34 13 @
39 5 @
40 5 @
41 5 @
42 5 @
43 5 @
44 5 @
45 5 @
39 6 @
39 7 @
39 8 @
39 9 @
39 10 @
39 11 @
39 12 @
39 13 @
40 9 @
41 9 @
42 9 @
43 9 @
44 9 @
45 9 @
40 13 @
41 13 @
42 13 @
43 13 @
44 13 @
45 13 @
54 5 @
53 6 @
53 7 @
52 8 @
52 9 @
51 10 @
51 11 @
50 12 @
50 13 @
55 6 @
55 7 @
56 8 @
56 9 @
57 10 @
57 11 @
58 12 @
58 13 @
52 10 @
53 10 @
54 10 @
55 10 @
56 10 @
63 5 @
63 6 @
63 7 @
63 8 @
63 9 @
63 10 @
63 11 @
63 12 @
63 13 @
64 5 @
65 5 @
66 6 @
67 7 @
66 8 @
65 9 @
64 9 @
64 10 @
65 11 @
66 12 @
67 13 @
