Enter image dot positions following below order
x y image
=====
10 5 @
11 5 @
12 5 @
13 5 @
14 5 @
15 5 @
16 5 @
17 5 @
17 6 @
10 6 @
10 7 @
10 8 @
10 9 @
10 10 @
10 11 @
10 12 @
10 13 @
11 13 @
12 13 @
13 13 @
14 13 @
15 13 @
16 13 @
17 13 @
17 12 @
17 11 @
17 10 @
15 10 @
16 10 @
18 10 @
19 10 @
26 5 @
25 6 @
25 7 @
24 8 @
24 9 @
23 10 @
23 11 @
22 12 @
22 13 @
27 6 @
27 7 @
28 8 @
28 9 @
29 10 @
29 11 @
30 12 @
30 13 @
24 10 @
25 10 @
26 10 @
27 10 @
28 10 @
32 5 @
32 6 @
32 7 @
32 8 @
32 9 @
32 10 @
32 11 @
32 12 @
32 13 @
33 13 @
34 13 @
35 13 @
36 13 @
37 13 @
38 13 @
39 13 @
46 5 @
45 6 @
45 7 @
44 8 @
44 9 @
43 10 @
43 11 @
42 12 @
42 13 @
47 6 @
47 7 @
48 8 @
48 9 @
49 10 @
49 11 @
50 12 @
50 13 @
44 10 @
45 10 @
46 10 @
47 10 @
48 10 @
52 5 @
53 6 @
54 7 @
55 8 @
56 9 @
57 10 @
58 11 @
59 12 @
60 13 @
52 13 @
53 12 @
54 11 @
55 10 @
57 8 @
58 7 @
59 6 @
60 5 @
63 5 @
64 6 @
65 7 @
66 8 @
67 9 @
68 8 @
69 7 @
70 6 @
71 5 @
67 10 @
67 11 @
67 12 @
67 13 @
